id;language;extension;author;name;creation_date;path;circuit;m.Width;m.Depth;m.MaxDens;m.AvgDens;m.NoP-X;m.NoP-Y;m.NoP-Z;m.TNo-P;m.NoH;m.%SpposQ;m.NoOtherSG;m.TNoSQG;m.TNoCSQG;m.NoSWAP;m.NoCNOT;m.%QInCNOT;m.AvgCNOT;m.MaxCNOT;m.NoToff;m.%QInToff;m.AvgToff;m.MaxToff;m.NoGates;m.NoCGates;m.%SGates;m.NoOr;m.NoCOr;m.%QInOr;m.%QInCOr;m.AvgOrD;m.MaxOrD;m.NoM;m.%QM;p.initialization;p.superposition;p.oracle;p.entanglement
36194384-6b7a-4566-ad2a-58a4fe523e71;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/rzx/rzx_xz.py;"[[""X"", ""_"", ""X"", ""RZ"", ""RX"", ""RZ"", ""RZ"", ""RX"", ""RZ""], [{""CONTROL"": 0}, ""RX"", {""CONTROL"": 0}]]";2.0;9.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;7.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;9.0;2.0;0.778;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
931fff56-369c-4068-be0a-7999729ea1fb;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/rzx/rzx_zz2.py;"[[{""CONTROL"": 1}, {""CONTROL"": 1}], [""X"", ""X"", ""RZ"", ""RX"", ""RZ"", ""RX"", ""RZ"", ""RX"", ""RZ""]]";2.0;9.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;7.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;9.0;2.0;0.778;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
e30b6a6e-9044-47d7-8615-518063edd0cf;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_9d_8.py;"[[{""CONTROL"": 1}, {""CONTROL"": 2}, {""CONTROL"": 2}, {""CONTROL"": 2}, ""_"", {""CONTROL"": 2}, {""CONTROL"": 2}, ""_"", {""CONTROL"": 2}], [{""CONTROL"": 2}, ""_"", ""X"", ""_"", {""CONTROL"": 2}, ""X"", ""_"", {""CONTROL"": 2}, ""X""], [""X"", ""X"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}]]";3.0;9.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;1.667;5.0;4.0;1.0;1.333;3.0;9.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
1d2fa142-8bdd-420e-90a7-4c9a76f405ac;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_6c_1.py;"[[{""CONTROL"": 1}, ""_"", {""CONTROL"": 1}, ""_"", {""CONTROL"": 1}, {""CONTROL"": 2}], [{""CONTROL"": 2}, ""X"", {""CONTROL"": 2}, ""X"", {""CONTROL"": 2}, ""X""], [""X"", {""CONTROL"": 1}, ""X"", {""CONTROL"": 1}, ""X"", {""CONTROL"": 1}]]";3.0;6.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.667;0.667;2.0;4.0;1.0;1.333;3.0;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
7a299d94-c43e-4c64-a359-15b0bad566f2;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/clifford/clifford_2_2.py;"[[{""CONTROL"": 1}, {""CONTROL"": 1}], [""X"", ""X""]]";2.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
3c5d18d6-2832-4197-94c0-787c585e976c;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/standard_gates/u.py;"[[{""CONTROL"": 1}, ""_"", {""CONTROL"": 1}], [""X"", {""ORACLE"": 1}, ""X"", {""ORACLE"": 1}]]";2.0;4.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;4.0;2.0;0.0;2.0;0.0;0.5;0.0;1.0;1.0;0.0;0.0;False;False;True;False
efc1916e-13de-4c85-bdfe-bb3ae8566eb0;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_9c_12.py;"[[{""CONTROL"": 2}, {""CONTROL"": 1}, {""CONTROL"": 1}, {""CONTROL"": 2}, {""CONTROL"": 2}, {""CONTROL"": 2}, {""CONTROL"": 1}, {""CONTROL"": 2}, {""CONTROL"": 2}], [""X"", {""CONTROL"": 2}, ""X"", ""X"", ""_"", ""X"", {""CONTROL"": 2}, ""_"", ""X""], [{""CONTROL"": 1}, ""X"", ""_"", {""CONTROL"": 1}, ""X"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}]]";3.0;9.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;1.0;2.0;6.0;1.0;2.0;4.0;9.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
7a2ff89a-f325-48fa-b95e-38914103f65d;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_7b_1.py;"[[""X"", {""CONTROL"": 1}, ""_"", {""CONTROL"": 1}, {""CONTROL"": 1}, ""X"", {""CONTROL"": 1}], [""_"", ""X"", {""CONTROL"": 2}, {""CONTROL"": 2}, ""X"", ""_"", {""CONTROL"": 2}], [""_"", ""_"", ""X"", ""X"", ""_"", ""_"", ""X""]]";3.0;7.0;1.0;1.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;1.0;1.0;2.0;2.0;1.0;0.667;2.0;7.0;5.0;0.286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;False;False;False
a5194d4f-260b-4a81-b6ee-35357ebfad1c;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/clifford/clifford_8_2.py;"[[{""CONTROL"": 1}, ""_"", {""CONTROL"": 1}, ""S"", {""CONTROL"": 1}], [""X"", ""H"", ""X"", ""_"", ""X"", ""S"", ""H""]]";2.0;7.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;4.0;0.0;0.0;3.0;1.0;1.5;3.0;0.0;0.0;0.0;0.0;7.0;3.0;0.571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
c850ea49-2d6a-4a87-bb86-264fb78cacbc;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_9d_1.py;"[[{""CONTROL"": 1}, ""_"", ""X"", ""_"", {""CONTROL"": 1}, ""X"", ""_"", {""CONTROL"": 1}, ""X""], [""X"", ""X"", {""CONTROL"": 0}, ""X"", ""X"", {""CONTROL"": 0}, ""X"", ""X"", {""CONTROL"": 0}]]";2.0;9.0;1.0;1.0;3.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;6.0;1.0;3.0;3.0;0.0;0.0;0.0;0.0;9.0;6.0;0.333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
de46df8e-5a6f-4c28-ad3d-7f48f4efab5e;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_7d_1.py;"[[""X"", {""CONTROL"": 2}, ""_"", {""CONTROL"": 1}, {""CONTROL"": 2}, ""X"", {""CONTROL"": 1}], [{""CONTROL"": 0}, ""X"", {""CONTROL"": 2}, {""CONTROL"": 2}, ""X"", {""CONTROL"": 0}, {""CONTROL"": 2}], [""_"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}, ""_"", ""X""]]";3.0;7.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;1.0;2.0;4.0;1.0;1.333;2.0;7.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
3e59a03d-02a4-4886-a91f-c27f560f8b3b;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_9c_6.py;"[[""_"", {""CONTROL"": 1}, {""CONTROL"": 1}, ""_"", {""CONTROL"": 2}, ""_"", {""CONTROL"": 1}, {""CONTROL"": 2}], [""X"", {""CONTROL"": 2}, ""X"", ""X"", ""_"", ""X"", {""CONTROL"": 2}, ""_"", ""X""], [{""CONTROL"": 1}, ""X"", ""_"", {""CONTROL"": 1}, ""X"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}]]";3.0;9.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;1.0;2.333;5.0;2.0;1.0;0.667;2.0;9.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
9cb846a9-fe03-44e5-a58f-b1ec5510403e;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_7e_1.py;"[[""X"", {""CONTROL"": 2}, ""_"", {""CONTROL"": 2}, {""CONTROL"": 2}, ""X"", {""CONTROL"": 2}], [""_"", ""X"", ""_"", ""_"", ""X""], [""_"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}, ""_"", ""X""]]";3.0;7.0;1.0;1.0;3.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;0.667;0.667;2.0;2.0;1.0;0.667;2.0;7.0;4.0;0.429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;False;False;False
461b550e-0432-4f7e-82da-f51bc3e5a597;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_9c_3.py;"[[""_"", {""CONTROL"": 1}, ""_"", ""_"", ""_"", ""_"", {""CONTROL"": 1}], [""X"", {""CONTROL"": 2}, ""X"", ""X"", ""_"", ""X"", {""CONTROL"": 2}, ""_"", ""X""], [{""CONTROL"": 1}, ""X"", ""_"", {""CONTROL"": 1}, ""X"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}]]";3.0;9.0;1.0;1.0;3.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;4.0;0.667;1.333;4.0;2.0;1.0;0.667;2.0;9.0;6.0;0.333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
0ef9dec7-a890-43ac-a96a-41badd65cab7;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/rzx/rzx_cy.py;"[[{""CONTROL"": 1}, ""_"", {""CONTROL"": 1}], [""X"", ""RY"", ""X"", ""RY"", ""RZ"", ""RX"", ""RZ""]]";2.0;7.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;7.0;2.0;0.714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
2f3de15a-835b-430d-8048-1ad4a3062f93;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_9d_3.py;"[[{""CONTROL"": 1}, {""CONTROL"": 2}, ""_"", ""_"", ""_"", {""CONTROL"": 2}], [{""CONTROL"": 2}, ""_"", ""X"", ""_"", {""CONTROL"": 2}, ""X"", ""_"", {""CONTROL"": 2}, ""X""], [""X"", ""X"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}]]";3.0;9.0;1.0;1.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;5.0;1.0;1.667;3.0;2.0;1.0;0.667;1.0;9.0;7.0;0.222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
c9369a4d-245a-4100-bc6e-f4f6ba759883;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_4a_2.py;"[[{""CONTROL"": 1}, ""_"", {""CONTROL"": 1}], [{""CONTROL"": 3}, {""CONTROL"": 2}, {""CONTROL"": 3}, {""CONTROL"": 2}], [""_"", ""X"", ""_"", ""X""], [""X"", ""_"", ""X""]]";4.0;4.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.5;0.5;2.0;2.0;0.75;0.5;2.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
b2f073c4-ee2d-4be3-9867-33e1e302106b;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_9c_2.py;"[[""_"", {""CONTROL"": 1}, {""CONTROL"": 1}, ""_"", ""_"", {""CONTROL"": 2}, {""CONTROL"": 1}, ""_"", {""CONTROL"": 2}], [""X"", {""CONTROL"": 2}, ""X"", ""X"", ""_"", ""X"", {""CONTROL"": 2}, ""_"", ""X""], [{""CONTROL"": 1}, ""X"", ""_"", {""CONTROL"": 1}, ""X"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}]]";3.0;9.0;1.0;1.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;1.0;1.0;3.0;4.0;1.0;1.333;2.0;9.0;7.0;0.222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
a17d3766-1053-40dd-a0ce-1a3cab87cebc;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_7c_1.py;"[[""X"", {""CONTROL"": 2}, ""_"", {""CONTROL"": 1}, {""CONTROL"": 2}, ""X"", {""CONTROL"": 1}], [""_"", ""X"", {""CONTROL"": 2}, {""CONTROL"": 2}, ""X"", ""_"", {""CONTROL"": 2}], [""_"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}, ""_"", ""X""]]";3.0;7.0;1.0;1.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.667;0.333;1.0;4.0;1.0;1.333;2.0;7.0;5.0;0.286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;False;False;False
60ddc3a0-4e7f-4940-8704-777f03520094;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_9c_4.py;"[[{""CONTROL"": 2}, {""CONTROL"": 1}, ""_"", {""CONTROL"": 2}, ""_"", ""_"", {""CONTROL"": 1}], [""X"", {""CONTROL"": 2}, ""X"", ""X"", ""_"", ""X"", {""CONTROL"": 2}, ""_"", ""X""], [{""CONTROL"": 1}, ""X"", ""_"", {""CONTROL"": 1}, ""X"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}]]";3.0;9.0;1.0;1.0;3.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;0.667;0.667;2.0;4.0;1.0;1.333;2.0;9.0;6.0;0.333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
65f6d4fb-34af-41f1-be06-632cae128dca;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/test/python/transpiler/test_1q.py;"[[""H"", ""MEASURE""], [""RY""], []]";3.0;2.0;2.0;1.5;0.0;0.0;0.0;0.0;1.0;0.333;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.333;False;False;False;False
df5a86cb-80a6-4206-8a55-042509629027;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/test/python/quantum_info/test_analyzation.py;"[[""_"", ""_"", ""_"", ""_"", ""X""], [""_"", ""X"", ""_"", ""_"", {""CONTROL"": 0}], [""H"", {""CONTROL"": 1}, {""CONTROL"": 3}], [""_"", ""_"", ""X"", {""CONTROL"": 4}], [""_"", ""_"", ""_"", ""X""], [], [], [], [], []]";10.0;5.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.1;0.0;1.0;0.0;0.0;4.0;0.5;0.4;1.0;0.0;0.0;0.0;0.0;5.0;4.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;True
df5a86cb-80a6-4206-8a55-042509629027;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/test/python/quantum_info/test_analyzation.py;"[[""_"", ""_"", ""_"", ""X""], [""_"", ""X"", ""_"", {""CONTROL"": 0}], [""H"", {""CONTROL"": 1}, ""Y"", {""CONTROL"": 3}], [""_"", ""_"", ""_"", ""X""], [], [], [], [], [], []]";10.0;4.0;2.0;1.25;0.0;1.0;0.0;1.0;1.0;0.1;0.0;2.0;0.0;0.0;3.0;0.4;0.3;1.0;0.0;0.0;0.0;0.0;5.0;3.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;True
4729161b-05c5-42d5-8609-1946713eda84;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/test/python/visualization/test_utils.py;"[[""_"", ""_"", {""CONTROL"": 1}, ""MEASURE"", ""X""], [""_"", ""_"", ""X"", ""_"", {""CONTROL"": 0}, ""MEASURE""], [], [{""CONTROL"": 4}, ""MEASURE"", ""X""], [""X"", ""_"", {""CONTROL"": 3}, ""MEASURE""], []]";6.0;6.0;2.0;1.333;0.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;4.0;0.667;0.667;1.0;0.0;0.0;0.0;0.0;8.0;4.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.667;False;False;False;False
4729161b-05c5-42d5-8609-1946713eda84;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/test/python/visualization/test_utils.py;"[[""H"", ""MEASURE""], [], [], []]";4.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.25;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;False;False;False;False
4729161b-05c5-42d5-8609-1946713eda84;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/test/python/visualization/test_utils.py;"[[""H"", ""MEASURE""], []]";2.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.5;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;False;False;False;False
6199d000-3e53-4dd0-a01b-1f4c68bb838c;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/test/python/qpy/test_block_load_from_qpy.py;"[[""MEASURE""], []]";2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;False;False;False;False
