id;language;extension;author;name;path;circuit;m.Width;m.Depth;m.MaxDens;m.AvgDens;m.NoP-X;m.NoP-Y;m.NoP-Z;m.TNo-P;m.NoH;m.%SpposQ;m.NoOtherSG;m.TNoSQG;m.TNoCSQG;m.NoSWAP;m.NoCNOT;m.%QInCNOT;m.AvgCNOT;m.MaxCNOT;m.NoToff;m.%QInToff;m.AvgToff;m.MaxToff;m.NoGates;m.NoCGates;m.%SGates;m.NoOr;m.NoCOr;m.%QInOr;m.%QInCOr;m.AvgOrD;m.MaxOrD;m.NoM;m.%QM;p.initialization;p.superposition;p.oracle;p.entanglement
6646d62d-64d9-4fa0-887e-c325dcab7c94;Python;qiskit;Qiskit;qiskit-ibm-runtime;Python_qiskit_Qiskit_qiskit-ibm-runtime_test.integration.test_ibm_qasm_simulator.py;"[[""MEASURE"", ""MEASURE""], [""MEASURE""], [""X"", ""MEASURE"", ""MEASURE""], [""X"", ""MEASURE""]]";4.0;3.0;4.0;2.6666666666666665;2.0;0.0;0.0;2.0;0.0;0.0;6.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;1.0;True;False;False;False
2203fb31-4fa1-4604-8ff7-f2bcc565c025;Python;qiskit;Qiskit;qiskit-ibm-runtime;Python_qiskit_Qiskit_qiskit-ibm-runtime_test.integration.test_fake_backends.py;"[[""MEASURE""], []]";2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;False;False;False;False
34f443ff-574b-4d33-acf5-936930726119;Python;qiskit;Qiskit;qiskit-ibm-provider;Python_qiskit_Qiskit_qiskit-ibm-provider_test.integration.test_ibm_provider.py;"[[""H""]]";1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;True;False;False
6501c9f2-edba-4c84-9bdf-8cd035facb9e;Python;qiskit;Qiskit;qiskit-ibm-provider;Python_qiskit_Qiskit_qiskit-ibm-provider_test.integration.test_ibm_qasm_simulator.py;"[[""H"", ""MEASURE""]]";1.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;False;True;False;False
6501c9f2-edba-4c84-9bdf-8cd035facb9e;Python;qiskit;Qiskit;qiskit-ibm-provider;Python_qiskit_Qiskit_qiskit-ibm-provider_test.integration.test_ibm_qasm_simulator.py;"[[""X"", ""MEASURE"", ""MEASURE""], [""MEASURE""], [""MEASURE"", ""MEASURE""], [""MEASURE""]]";4.0;3.0;4.0;2.3333333333333335;1.0;0.0;0.0;1.0;0.0;0.0;6.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;1.0;True;False;False;False
6501c9f2-edba-4c84-9bdf-8cd035facb9e;Python;qiskit;Qiskit;qiskit-ibm-provider;Python_qiskit_Qiskit_qiskit-ibm-provider_test.integration.test_ibm_qasm_simulator.py;"[[""MEASURE"", ""MEASURE""], [""MEASURE""], [""X"", ""MEASURE"", ""MEASURE""], [""X"", ""MEASURE""]]";4.0;3.0;4.0;2.6666666666666665;2.0;0.0;0.0;2.0;0.0;0.0;6.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;1.0;True;False;False;False
bbe353fb-5162-48de-a1db-2b4c9baa435b;Python;qiskit;Qiskit;qiskit-ibm-provider;Python_qiskit_Qiskit_qiskit-ibm-provider_test.integration.test_ibm_integration.py;"[[""H"", {""CONTROL"": 1}, ""X"", ""MEASURE""], [""_"", ""X"", ""MEASURE""]]";2.0;4.0;2.0;1.25;1.0;0.0;0.0;1.0;1.0;0.5;2.0;4.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0;0.0;0.0;0.0;5.0;1.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;False;False;False;False
bbe353fb-5162-48de-a1db-2b4c9baa435b;Python;qiskit;Qiskit;qiskit-ibm-provider;Python_qiskit_Qiskit_qiskit-ibm-provider_test.integration.test_ibm_integration.py;"[[""MEASURE""], [], [], []]";4.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;False;False;False;False
25e3b971-d89b-4a1a-b949-551df9d09a45;Python;qiskit;qiskit-community;qiskit-app-benchmarks;Python_qiskit_qiskit-community_qiskit-app-benchmarks_machine_learning.benchmarks.base_regressor_benchmark.py;"[[""RY""]]";1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
25e3b971-d89b-4a1a-b949-551df9d09a45;Python;qiskit;qiskit-community;qiskit-app-benchmarks;Python_qiskit_qiskit-community_qiskit-app-benchmarks_machine_learning.benchmarks.base_regressor_benchmark.py;"[[""RY""]]";1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
10f8387c-4e6a-4d6c-8c76-69c95b12561c;Python;qiskit;qiskit-community;qiskit-qec;Python_qiskit_qiskit-community_qiskit-qec_test.fault_sampler.test_faultsampler.py;"[[""H"", ""MEASURE""], []]";2.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.5;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;False;False;False;False
40984f5c-0bf0-45bc-992a-ffbda93d0bd9;Python;qiskit;qiskit-community;qiskit-cold-atom;Python_qiskit_qiskit-community_qiskit-cold-atom_test.test_spin_circuit_solver.py;"[[""MEASURE""]]";1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;False;False;False;False
40984f5c-0bf0-45bc-992a-ffbda93d0bd9;Python;qiskit;qiskit-community;qiskit-cold-atom;Python_qiskit_qiskit-community_qiskit-cold-atom_test.test_spin_circuit_solver.py;"[[""RX"", ""RZ""], []]";2.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
40984f5c-0bf0-45bc-992a-ffbda93d0bd9;Python;qiskit;qiskit-community;qiskit-cold-atom;Python_qiskit_qiskit-community_qiskit-cold-atom_test.test_spin_circuit_solver.py;"[[""MEASURE""], []]";2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;False;False;False;False
a02f0b5f-8686-4c03-acd8-66c47542cf52;Python;qiskit;qiskit-community;qiskit-cold-atom;Python_qiskit_qiskit-community_qiskit-cold-atom_test.test_fermion_simulator_backend.py;"[[""MEASURE""], [], [], []]";4.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;False;False;False;False
ddfd7548-2c12-4988-b7a6-1b66c268c3d6;Python;qiskit;qiskit-community;qiskit-cold-atom;Python_qiskit_qiskit-community_qiskit-cold-atom_test.test_circuit_tools.py;"[[""MEASURE""], [], []]";3.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.3333333333333333;False;False;False;False
ddfd7548-2c12-4988-b7a6-1b66c268c3d6;Python;qiskit;qiskit-community;qiskit-cold-atom;Python_qiskit_qiskit-community_qiskit-cold-atom_test.test_circuit_tools.py;"[[""MEASURE""], []]";2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;False;False;False;False
ddfd7548-2c12-4988-b7a6-1b66c268c3d6;Python;qiskit;qiskit-community;qiskit-cold-atom;Python_qiskit_qiskit-community_qiskit-cold-atom_test.test_circuit_tools.py;"[[""MEASURE""], [], []]";3.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.3333333333333333;False;False;False;False
f676bfef-5f0d-4ef5-ad4d-8d0a6206adcb;Python;qiskit;qiskit-community;qiskit-cold-atom;Python_qiskit_qiskit-community_qiskit-cold-atom_test.test_spin_simulator_backend.py;"[[""MEASURE""]]";1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;False;False;False;False
